제품명,중량(g),열량(kcal),나트륨(mg),당류(g),포화지방(g),단백질(g)
프랭크버거(R),140,364.18,464.53,6.69,8.47,16.02
치즈버거(R),150,371.28,559.05,4.29,8.76,16.22
베이컨치즈버거(R),207,515.78,962.69,7.85,13.97,32.03
더블치즈버거(R),211,626.82,855.9,2.87,19.52,32.11
쉬림프버거(R),171,413.97,667.93,6.29,6.33,11.9
머쉬룸버거(R),180,465.86,939.98,9.2,11.56,19.08
JG버거(R),190,598.1,1272.98,4.18,15.2,35.42
SG불고기버거(R),145,353.31,445.3,8.21,6.97,16.25
SG크림치즈버거(R),163,428.53,877.56,5.43,11.02,23.41
프랭크버거(L),175,453.41,563.66,7.54,10.83,20.04
치즈버거(L),185,483.39,718.45,5.27,11.16,20.04
베이컨치즈버거(L),250,642.43,1148.6,10.08,16.8,32.03
더블치즈버거(L),254,687.04,1149.6,4.55,19.51,33.45
머쉬룸버거(L),250,665.3,1203.43,13.58,18.1,26.75
JG버거(L),260,828.28,1574.77,6.42,22.28,48.23
SG불고기버거(L),180,491.06,606.15,13.84,10.6,17.24
SG크림치즈버거(L),198,613.32,972.04,8.45,18.3,28.27
